Processes,Time
1,0.3021118640899658
1,0.1956801414489746
1,0.20018696784973145
1,0.2051868438720703
1,0.2035830020904541
1,0.21192002296447754
1,0.19706010818481445
1,0.19785690307617188
1,0.2058711051940918
1,0.22283601760864258
2,0.19569087028503418
2,0.23351597785949707
2,0.19849085807800293
2,0.22305893898010254
2,0.22001099586486816
2,0.22095298767089844
2,0.23885512351989746
2,0.2374110221862793
2,0.2296009063720703
2,0.25099992752075195
3,0.2657489776611328
3,0.3052561283111572
3,0.27496910095214844
3,0.3136279582977295
3,0.24241209030151367
3,0.22052288055419922
3,0.23984980583190918
3,0.23753786087036133
3,0.2470698356628418
3,0.22776198387145996
4,0.2333979606628418
4,0.22129178047180176
4,0.2124478816986084
4,0.22046685218811035
4,0.21708989143371582
4,0.21515679359436035
4,0.22039103507995605
4,0.22035789489746094
4,0.24176502227783203
4,0.22207117080688477
5,0.21147990226745605
5,0.23019814491271973
5,0.2342989444732666
5,0.22245287895202637
5,0.23873496055603027
5,0.23939108848571777
5,0.23145008087158203
5,0.22045397758483887
5,0.24382710456848145
5,0.26385498046875
6,0.26512694358825684
6,0.21323108673095703
6,0.2497258186340332
6,0.27797794342041016
6,0.27617907524108887
6,0.24245595932006836
6,0.28632402420043945
6,0.27135396003723145
6,0.2670121192932129
6,0.2647359371185303
7,0.26478099822998047
7,0.22878003120422363
7,0.22087812423706055
7,0.23023486137390137
7,0.23778510093688965
7,0.2579319477081299
7,0.23848891258239746
7,0.2276289463043213
7,0.21024298667907715
7,0.23624515533447266
8,0.23471403121948242
8,0.2619760036468506
8,0.25321316719055176
8,0.2554490566253662
8,0.26266908645629883
8,0.23928618431091309
8,0.2757399082183838
8,0.2619459629058838
8,0.2546579837799072
8,0.3111081123352051
9,0.3065369129180908
9,0.28498101234436035
9,0.31089305877685547
9,0.3348429203033447
9,0.30834102630615234
9,0.3036830425262451
9,0.31905603408813477
9,0.31256103515625
9,0.3246181011199951
9,0.33049988746643066
10,0.2596409320831299
10,0.23500514030456543
10,0.24062299728393555
10,0.23635292053222656
10,0.24222993850708008
10,0.23271489143371582
10,0.24375319480895996
10,0.22800087928771973
10,0.3074510097503662
10,0.2576611042022705
